Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Kenya,KEN,408.9818683,407.5540066,402.1703155,444.2336311,467.3787525,530.0821579,711.7211637,857.9256887,938.5717623,942.7431465,991.8505451,1012.879773,1184.923256,1257.202838,1358.262219
Kiribati,KIR,799.8566112,734.9492461,827.3020845,1014.135333,1128.951514,1149.688033,1110.460493,1277.149405,1371.887152,1264.097741,1465.504574,1645.80974,1641.197419,1556.525787,1509.521187
"Korea, Dem. People‰Ûªs Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"South Korea",KOR,11947.57725,11255.94789,12788.58018,14219.19359,15921.9392,18657.52125,20917.03024,23101.51023,20474.88685,18338.70637,22151.20889,24155.82985,24453.97191,25997.88105,27970.49515
Kosovo,KSV,1087.762401,1490.361033,1587.505829,1969.562713,2135.332847,2190.552079,2371.662079,2788.479464,3254.860674,3209.694109,3283.211938,3736.840999,3600.887,3890.300665,4051.648361
Kuwait,KWT,19545.19345,17532.8578,18674.59853,22841.60249,27437.98242,35694.38171,42498.7402,45159.34147,54484.30051,36754.94587,37725.14121,47551.38297,50903.9046,48463.15167,43593.70202
Kyrgyz Republic,KGZ,279.620275,308.4090314,321.726538,380.5073624,433.2351189,476.5518917,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168,1177.974735,1282.437162,1268.856604
Lao PDR,LAO,324.0196947,326.0306989,319.5325358,362.6677396,418.1732543,476.1624057,591.3647725,710.9803378,900.4995535,947.9555257,1147.095387,1300.979602,1445.86945,1700.987378,1793.470494
Latvia,LVA,3351.469058,3571.547005,4128.638136,5128.97182,6344.980664,7550.142187,9651.70304,14019.37858,16323.76528,12207.58707,11319.517,13781.20979,13775.26158,15025.80932,15692.19156
Lebanon,LBN,5334.880244,5253.097584,5436.587507,5425.66907,5424.217944,5339.42388,5372.475056,6015.802129,7015.605178,8403.109316,8763.795964,9132.434202,9729.282193,9870.486278,10057.88836
